# kind	code	name	coordinate
reject	1	invalid_source_byte	epsilon_source_byte
reject	2	invalid_token	epsilon_source_byte
reject	3	invalid_character_literal	epsilon_source_byte
reject	4	unterminated_string	epsilon_source_byte
reject	5	invalid_escape	epsilon_source_byte
reject	6	integer_literal_out_of_range	epsilon_source_byte
reject	7	unexpected_token	epsilon_source_byte
reject	8	unexpected_end	epsilon_source_byte
reject	9	duplicate_name	epsilon_source_byte
reject	10	missing_entry	epsilon_source_byte
reject	11	invalid_entry	epsilon_source_byte
reject	12	invalid_boundary	epsilon_source_byte
reject	13	unknown_type	epsilon_source_byte
reject	14	recursive_value_type	epsilon_source_byte
reject	15	invalid_data_shape	epsilon_source_byte
reject	16	invalid_array_length	epsilon_source_byte
reject	17	unknown_name	epsilon_source_byte
reject	18	type_mismatch	epsilon_source_byte
reject	19	arity_mismatch	epsilon_source_byte
reject	20	invalid_place	epsilon_source_byte
reject	21	use_before_initialization	epsilon_source_byte
reject	22	escaping_view	epsilon_source_byte
reject	23	invalid_control_target	epsilon_source_byte
reject	24	invalid_terminal	epsilon_source_byte
reject	25	duplicate_pattern	epsilon_source_byte
reject	26	nonexhaustive_sum	epsilon_source_byte
incomplete	1	input_bytes	epsilon_source_byte
incomplete	2	stack_bytes	internal_row
incomplete	3	heap_bytes	internal_row
incomplete	4	output_bytes	emitted_payload_byte
incomplete	5	application_static_storage_bytes	epsilon_source_byte_or_none
internal	1	delta_trap	none
internal	2	memory_containment_violation	internal_row
internal	3	invalid_returned_outcome	internal_row
internal	4	malformed_bytes	internal_row
internal	5	invalid_reject_offset	internal_row
internal	6	output_replay_mismatch	emitted_payload_byte
internal	7	adapter_contradiction	internal_row
internal	8	publication_contradiction	emitted_payload_byte
