# kind	code	name	coordinate
reject	1	malformed_request	gcreq_byte
reject	2	unknown_profile	gcreq_byte
reject	3	invalid_source_byte	gamma_source_byte
reject	4	invalid_syntax	gamma_source_byte
reject	5	integer_literal_out_of_range	gamma_source_byte
reject	6	duplicate_type	gamma_source_byte
reject	7	duplicate_constructor	gamma_source_byte
reject	8	duplicate_function	gamma_source_byte
reject	9	active_local_conflict	gamma_source_byte
reject	10	duplicate_pattern	gamma_source_byte
reject	11	unknown_type	gamma_source_byte
reject	12	unknown_constructor	gamma_source_byte
reject	13	unknown_function	gamma_source_byte
reject	14	unknown_local	gamma_source_byte
reject	15	type_mismatch	gamma_source_byte
reject	16	arity_mismatch	gamma_source_byte
reject	17	duplicate_match_case	gamma_source_byte
reject	18	nonexhaustive_match	gamma_source_byte
reject	19	missing_entry	gamma_source_byte
reject	20	entry_schema_mismatch	gamma_source_byte
reject	21	profile_schema_mismatch	gamma_source_byte
incomplete	1	source_bytes	gcreq_byte
incomplete	2	type_rows	gamma_source_byte
incomplete	3	constructor_rows	gamma_source_byte
incomplete	4	function_rows	gamma_source_byte
incomplete	5	environment_rows	gamma_source_byte
incomplete	6	coverage_rows	gamma_source_byte
incomplete	7	syntax_arena_bytes	gamma_source_byte
incomplete	8	parse_depth	gamma_source_byte
incomplete	9	live_local_slots	gamma_source_byte
incomplete	10	label_rows	internal_row
incomplete	11	fixup_rows	internal_row
incomplete	12	payload_bytes	emitted_payload_byte
internal	1	retained_frontend_contradiction	internal_row
internal	2	emission_metadata_contradiction	internal_row
internal	3	label_or_fixup_contradiction	internal_row
internal	4	payload_replay_mismatch	emitted_payload_byte
internal	5	adapter_construction_contradiction	internal_row
internal	6	publication_contradiction	emitted_payload_byte
