# kind	code	name	coordinate
reject	1	invalid_source	source_byte
incomplete	1	source_bytes	source_byte
incomplete	2	identifier_bytes	source_byte
incomplete	3	syntax_depth	source_byte
incomplete	4	procedure_rows	source_byte
incomplete	5	procedure_state_rows	source_byte
incomplete	6	global_state_rows	source_byte
incomplete	7	procedure_edge_rows	source_byte
incomplete	8	global_edge_rows	source_byte
incomplete	9	call_rows	source_byte
incomplete	10	frame_slot_rows	source_byte
incomplete	11	payload_bytes	emitted_payload_byte
internal	1	replay_rejected	source_byte
internal	2	replay_length_mismatch	emitted_payload_byte
internal	3	replay_payload_overflow	emitted_payload_byte
internal	4	fixup_capacity	internal_row
internal	5	internal_pc_capacity	internal_row
internal	6	post_validation_resolution	internal_row
